"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 01:46:29 UTC 2024","Wed May 15 01:46:53 UTC 2024","23789","tests.integration","test_charm","","","","test_change_config","Change config and assert that the pgbouncer config file looks how we expect."
"passed","Wed May 15 01:55:44 UTC 2024","Wed May 15 01:55:48 UTC 2024","4186","tests.integration","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Wed May 15 01:56:44 UTC 2024","Wed May 15 02:00:03 UTC 2024","199189","tests.integration.relations","test_db","","","","test_remove_relation",""
"passed","Wed May 15 02:00:03 UTC 2024","Wed May 15 02:03:42 UTC 2024","218272","tests.integration.relations","test_db","","","","test_extensions","Test that PGB blocks on disabled extension request and allows enabled ones."
"passed","Wed May 15 01:47:35 UTC 2024","Wed May 15 01:47:35 UTC 2024","459","tests.integration","test_charm","","","","test_logrotate","Verify that logs will be rotated."
"passed","Wed May 15 02:00:56 UTC 2024","Wed May 15 02:01:54 UTC 2024","58704","tests.integration.relations","test_peers","","","","test_exit_relations","Test that we can exit relations with multiple units without breaking anything."
"passed","Wed May 15 01:55:48 UTC 2024","Wed May 15 01:58:10 UTC 2024","141752","tests.integration","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"passed","Wed May 15 02:25:46 UTC 2024","Wed May 15 02:27:49 UTC 2024","123514","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface.

    This occurs using a new relation per interface (for now).
    "
"passed","Wed May 15 02:01:40 UTC 2024","Wed May 15 02:01:57 UTC 2024","17597","tests.integration.relations","test_db_admin","","","","test_remove_relation",""
"passed","Wed May 15 01:41:17 UTC 2024","Wed May 15 01:57:14 UTC 2024","956980","tests.integration.relations","test_peers","","","","test_scaled_relations","Test that the pgbouncer, postgres, and client charms can relate to one another."
"passed","Wed May 15 01:52:57 UTC 2024","Wed May 15 02:00:33 UTC 2024","456157","tests.integration","test_subordinates","","","","test_scale_up",""
"passed","Wed May 15 01:37:40 UTC 2024","Wed May 15 01:53:10 UTC 2024","929984","tests.integration","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Wed May 15 01:55:28 UTC 2024","Wed May 15 02:07:23 UTC 2024","715078","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"passed","Wed May 15 02:07:46 UTC 2024","Wed May 15 02:09:57 UTC 2024","130895","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_no_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
"passed","Wed May 15 02:07:27 UTC 2024","Wed May 15 02:07:46 UTC 2024","18748","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Wed May 15 01:37:16 UTC 2024","Wed May 15 01:51:16 UTC 2024","840580","tests.integration.relations.pgbouncer_provider","test_data_integrator","","","","test_deploy_and_relate","Test basic functionality of database relation interface."
"passed","Wed May 15 01:53:10 UTC 2024","Wed May 15 01:53:15 UTC 2024","4371","tests.integration","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Wed May 15 02:07:24 UTC 2024","Wed May 15 02:07:25 UTC 2024","1131","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_version","Check version is accurate."
"passed","Wed May 15 02:32:14 UTC 2024","Wed May 15 02:32:57 UTC 2024","43019","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_relation_broken","Test that the user is removed when the relation is broken."
"passed","Wed May 15 01:37:12 UTC 2024","Wed May 15 01:55:44 UTC 2024","1112522","tests.integration","test_upgrade_from_stable","","","","test_deploy_stable","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Wed May 15 01:51:16 UTC 2024","Wed May 15 01:51:50 UTC 2024","33748","tests.integration.relations.pgbouncer_provider","test_data_integrator","","","","test_add_tls",""
"passed","Wed May 15 02:07:25 UTC 2024","Wed May 15 02:07:27 UTC 2024","2037","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_admin_permissions","Test admin permissions."
"passed","Wed May 15 01:53:15 UTC 2024","Wed May 15 01:54:40 UTC 2024","85130","tests.integration","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Wed May 15 01:47:35 UTC 2024","Wed May 15 01:48:08 UTC 2024","32775","tests.integration","test_charm","","","","test_restart_unit",""
"passed","Wed May 15 02:09:57 UTC 2024","Wed May 15 02:11:03 UTC 2024","66107","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_two_applications_cant_relate_to_the_same_pgb","Test that two different application connect to the database with different credentials."
"passed","Wed May 15 02:07:23 UTC 2024","Wed May 15 02:07:24 UTC 2024","1022","tests.integration.relations.pgbouncer_provider","test_pgbouncer_provider","","","","test_database_usage","Check we can update and delete things."
"passed","Wed May 15 02:00:33 UTC 2024","Wed May 15 02:01:54 UTC 2024","80691","tests.integration","test_subordinates","","","","test_scale_down",""
"passed","Wed May 15 01:47:14 UTC 2024","Wed May 15 01:47:35 UTC 2024","20052","tests.integration","test_charm","","","","test_systemd_restarts_exporter_process",""
