"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Change config and assert that the pgbouncer config file looks how we expect.","19115","test_change_config","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","570070","test_deploy_latest","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade","",""
"Test that the pgbouncer, postgres, and client charms can relate to one another.","514402","test_scaled_relations","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_peers","",""
"Test updating from stable channel.","90249","test_upgrade_from_stable","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade_data_integrator","",""
"Test that two different application connect to the database with different credentials.","17249","test_two_applications_cant_relate_to_the_same_pgb","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"Build and deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","242785","test_build_and_deploy","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"Test that there is no read-only endpoint in a standalone cluster.","18620","test_localhost_read_only_endpoint_in_standalone_cluster","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"","145416","test_deploy_at_scale","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_peers","",""
"Deploy the charms.","","test_deploy","tests.integration.relations.pgbouncer_provider","","unknown","","","test_invalid_extra_user_roles","",""
"Check that invalid extra user roles make the PgBouncer charm block.","","test_extra_user_roles","tests.integration.relations.pgbouncer_provider","","unknown","","","test_invalid_extra_user_roles","",""
"Deploy Mailman3 Core to test the 'db' relation.","636016","test_mailman3_core_db","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_db","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","395971","test_deploy_stable","tests.integration","2025-10-15","broken","2025-10-15","","test_upgrade_from_stable","",""
"","81632","test_fail_and_rollback","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade","",""
"Check that an invalid database name makes the database charm block.","","test_database","tests.integration.relations.pgbouncer_provider","","unknown","","","test_invalid_database","",""
"Change config and assert that the pgbouncer config file looks how we expect.","24784","test_change_config","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator","",""
"Deploy the charms.","","test_deploy","tests.integration.relations.pgbouncer_provider","","unknown","","","test_invalid_database","",""
"","75957","test_upgrade_from_edge","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade","",""
"","16108","test_systemd_restarts_pgbouncer_processes","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"","","test_deploy","tests.integration","","unknown","","","test_subordinates","",""
"Test that the pgbouncer and postgres charms can relate to one another.","569227","test_relate_pgbouncer_to_postgres","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_backend_database","",""
"Test basic functionality of database relation interface.","355619","test_deploy_and_relate","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator","",""
"Test that the pre-upgrade-check action runs successfully.","4437","test_pre_upgrade_check","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade","",""
"","25670","test_remove_tls","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator_ha","",""
"Test that PGB blocks on disabled extension request and allows enabled ones.","260524","test_extensions","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_db","",""
"Test basic functionality of database relation interface.","610765","test_deploy_and_relate","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator_ha","",""
"Test data is replicated to new units after a scale up.","256904","test_scaling","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_peers","",""
"","193945","test_remove_vip","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator_ha","",""
"","101917","test_remove_relation","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_db","",""
"Test basic functionality of database relation interface.","377489","test_database_relation_with_charm_libraries","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration","2025-10-15","skipped","2025-10-15","","test_upgrade_from_stable","",""
"Test that we can exit relations with multiple units without breaking anything.","63871","test_exit_relations","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_peers","",""
"Check that the data integrator user can perform the expected operations in each database.","","test_operations","tests.integration.relations.pgbouncer_provider","","unknown","","","test_predefined_roles","",""
"Check these relations all work when scaling pgbouncer.","81240","test_scaling","tests.integration.relations.pgbouncer_provider","2025-10-15","broken","2025-10-15","","test_pgbouncer_provider","",""
"Check we can update and delete things.","1026","test_database_usage","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"Test that the pre-upgrade-check action runs successfully.","3404","test_pre_upgrade_check","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade_data_integrator","",""
"","27909","test_add_tls","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","432090","test_deploy_stable","tests.integration","2025-10-15","passed","2025-10-15","","test_upgrade_data_integrator","",""
"Test admin permissions.","2037","test_database_admin_permissions","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"","","test_scale_down","tests.integration","","unknown","","","test_subordinates","",""
"Deploy and relate the charms.","","test_deploy","tests.integration.relations.pgbouncer_provider","","unknown","","","test_predefined_roles","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","941176","test_landscape_scalable_bundle_db","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_db_admin","",""
"Test that an application can connect to different clusters of the same database.","470916","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"","643644","test_tls_encrypted_connection_to_postgres","tests.integration.relations","2025-10-15","passed","2025-10-15","","test_backend_database","",""
"Test that an application can request additional databases using the same interface.

    This occurs using a new relation per interface (for now).
    ","222767","test_an_application_can_request_multiple_databases","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"","15935","test_systemd_restarts_exporter_process","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"Test that there is read-only endpoint in a scaled up cluster.","127333","test_localhost_read_only_endpoint_in_scaled_up_cluster","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"Test that the user is removed when the relation is broken.","0","test_relation_broken","tests.integration.relations.pgbouncer_provider","2025-10-15","skipped","2025-10-15","","test_pgbouncer_provider","",""
"","33529","test_add_tls","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator_ha","",""
"","24813","test_restart_unit","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"Test updating from stable channel.","0","test_upgrade_from_stable","tests.integration","2025-10-15","skipped","2025-10-15","","test_upgrade_from_stable","",""
"","","test_scale_up","tests.integration","","unknown","","","test_subordinates","",""
"Verify that logs will be rotated.","700","test_logrotate","tests.integration","2025-10-15","passed","2025-10-15","","test_charm","",""
"Check version is accurate.","1182","test_database_version","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_pgbouncer_provider","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","317706","test_config_parameters","tests.integration","2025-10-15","passed","2025-10-15","","test_config","",""
"","25450","test_remove_tls","tests.integration.relations.pgbouncer_provider","2025-10-15","passed","2025-10-15","","test_data_integrator","",""
