"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that an invalid database name makes the database charm block.","","test_database","tests.integration.relations.pgbouncer_provider","","unknown","","","test_invalid_database","",""
"Deploy Mailman3 Core to test the 'db' relation.","670988","test_mailman3_core_db","tests.integration.relations","2026-04-24","passed","2026-04-24","","test_db","",""
"Test basic functionality of database relation interface.","560070","test_deploy_and_relate","tests.integration.relations.pgbouncer_provider","2026-04-24","passed","2026-04-24","","test_data_integrator","",""
"Test that an application can connect to different clusters of the same database.","549844","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.relations.pgbouncer_provider","2026-04-24","passed","2026-04-24","","test_pgbouncer_provider","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","600754","test_deploy_stable","tests.integration","2026-04-24","passed","2026-04-24","","test_upgrade_data_integrator","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","649731","test_deploy_stable","tests.integration","2026-04-24","passed","2026-04-24","","test_upgrade_from_stable","",""
"Test updating from stable channel.","63315","test_upgrade_from_stable","tests.integration","2026-04-24","passed","2026-04-24","","test_upgrade_data_integrator","",""
"Change config and assert that the pgbouncer config file looks how we expect.","40534","test_change_config","tests.integration","2026-04-24","passed","2026-04-24","","test_charm","",""
"Build and deploy the charm-under-test.

    Assert on the unit status before any relations/configurations take place.
    ","278698","test_build_and_deploy","tests.integration","2026-04-24","passed","2026-04-24","","test_charm","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","596345","test_deploy_latest","tests.integration","2026-04-24","passed","2026-04-24","","test_upgrade","",""
"Check that the data integrator user can perform the expected operations in each database.","","test_operations","tests.integration.relations.pgbouncer_provider","","unknown","","","test_predefined_roles","",""
"Test updating from stable channel.","87826","test_upgrade_from_stable","tests.integration","2026-04-24","passed","2026-04-24","","test_upgrade_from_stable","",""
"","34738","test_add_tls","tests.integration.relations.pgbouncer_provider","2026-04-24","passed","2026-04-24","","test_data_integrator_ha","",""
"Test data is replicated to new units after a scale up.","237845","test_scaling","tests.integration.relations","2026-04-24","passed","2026-04-24","","test_peers","",""
"","16541","test_systemd_restarts_pgbouncer_processes","tests.integration","2026-04-24","passed","2026-04-24","","test_charm","",""
